Time,FM,Severity
220.0,1.0,I
233.0,1.0,I
234.0,1.4,I
240.0,2.6,D
265.0,1.0,I
270.0,1.3,I
273.0,1.0,I
279.0,*,C
285.0,1.0,I
287.0,*,C
294.0,2.3,D
295.0,2.0,I
300.0,1.0,D
325.0,2.0,C
328.0,1.0,C
333.0,2.0,C
365.0,1.0,I
368.0,2.3,D
369.0,2.4,I
381.0,1.0,I
417.0,2.0,I
418.0,2.1,D
429.0,2.0,C
460.0,*,*
470.0,2.0,C
474.0,1.0,C
475.0,2.0,I
476.0,2.5,I
508.0,2.2,D
522.0,2.0,I
523.0,2.0,I
535.0,2.0,D
542.0,1.0,D
570.0,2.0,I
580.0,1.2,C
604.0,2.0,D
612.0,2.0,C
613.0,2.0,C
614.0,2.0,C
615.0,2.0,D
634.0,1.0,I
636.0,*,C
637.0,1.0,D
638.0,2.0,I
651.0,1.0,D
657.0,1.0,D
660.0,2.0,D
666.0,1.0,I
668.0,1.0,I
680.0,2.0,D
681.0,1.0,D
684.0,2.0,D
691.0,1.0,I
693.0,1.0,D
705.0,1.0,C
717.0,1.0,C
834.0,2.0,C
837.0,1.2,C
841.0,1.0,C
843.0,1.0,C
845.0,1.0,C
875.0,1.0,C
972.0,1.0,C
1037.0,1.0,C
1084.0,1.0,I
1091.0,1.0,D
1109.0,2.0,D
1117.0,2.2,I
1197.0,2.0,C
1258.0,1.1,C
1269.0,2.0,C
1297.0,2.0,D
1309.0,1.0,D
1322.0,2.0,C
1346.0,2.0,D
1349.0,2.0,D
1359.0,2.7,D
1363.0,1.0,C
1448.0,2.0,C
1476.0,2.0,D
1481.0,2.0,D
1557.0,1.3,C
1606.0,1.3,I
1610.0,2.0,D
1642.0,*,D
1659.0,2.7,D
