Intervenção,Inicio,date,event_type
Falha,2022-06-03 05:00:00,2022-06-03 05:00:00,Corretive
Falha,2022-06-05 01:00:00,2022-06-05 01:00:00,Corretive
falha,2022-06-09 07:00:00,2022-06-09 07:00:00,Corretive
falha,2022-06-12 07:00:00,2022-06-12 07:00:00,Corretive
falha,2022-06-13 05:00:00,2022-06-13 05:00:00,Corretive
falha,2022-06-14 20:00:00,2022-06-14 20:00:00,Corretive
falha,2022-06-14 23:00:00,2022-06-14 23:00:00,Corretive
falha,2022-06-15 14:00:00,2022-06-15 14:00:00,Corretive
falha,2022-06-23 19:00:00,2022-06-23 19:00:00,Corretive
falha,2022-07-01 15:00:00,2022-07-01 15:00:00,Corretive
falha,2022-07-04 22:00:00,2022-07-04 22:00:00,Corretive
falha,2022-07-08 14:00:00,2022-07-08 14:00:00,Corretive
falha,2022-07-10 12:00:00,2022-07-10 12:00:00,Corretive
falha,2022-07-10 17:00:00,2022-07-10 17:00:00,Corretive
falha,2022-07-10 22:00:00,2022-07-10 22:00:00,Corretive
falha,2022-07-12 10:00:00,2022-07-12 10:00:00,Corretive
falha,2022-07-13 08:00:00,2022-07-13 08:00:00,Corretive
falha,2022-07-18 03:00:00,2022-07-19 03:00:00,Corretive
falha,2022-07-27 21:00:00,2022-07-27 21:00:00,Corretive
falha,2022-07-31 22:00:00,2022-07-31 22:00:00,Corretive
falha,2022-08-02 04:00:00,2022-08-02 04:00:00,Corretive
falha,2022-09-03 03:00:00,2022-08-03 03:00:00,Corretive
falha,2022-08-03 16:00:00,2022-08-03 16:00:00,Corretive
falha,2022-08-04 06:00:00,2022-08-04 06:00:00,Corretive
